Id	BJ1	BJ2	BJ3	BJ4	BJ6	BJ5	BJ7	BJ8	BJ9	BJ10	CD1	CD2	CD3	CD4	CD5	CD6	CD7	CD8	CD9	CD10	norm.BJ1	norm.BJ2	norm.BJ3	norm.BJ4	norm.BJ6	norm.BJ5	norm.BJ7	norm.BJ8	norm.BJ9	norm.BJ10	norm.CD1	norm.CD2	norm.CD3	norm.CD4	norm.CD5	norm.CD6	norm.CD7	norm.CD8	norm.CD9	norm.CD10	baseMean	Beijing	Chengde	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
ENST00000529194	65	64	48	56	32	41	70	37	37	30	16	22	22	8	27	6	21	11	18	27	57	55	41	46	29	39	66	32	31	26	21	23	22	9	25	7	23	11	17	27	30.53	42	18	0.451	-1.149	-4.669	3.02599147025208e-06	1.65020311267085e-05	0.0866	0.4474	0.1115	0.1115	TRUE	0.0825
ENST00000637609	125	133	146	169	206	172	150	147	29	85	0	14	4	6	29	4	3	4	31	88	110	114	124	139	189	165	142	127	24	75	0	15	4	7	27	5	3	4	29	87	69.59	121	18	0.177	-2.498	-4.669	3.0308415446006e-06	1.65234098013661e-05	0.8349	0.4133	0.784	0.784	TRUE	2.4812
ENST00000589189	3	9	2	5	5	21	0	2	2	3	0	0	0	0	0	0	0	0	0	0	3	8	2	4	5	20	0	2	2	3	0	0	0	0	0	0	0	0	0	0	2.35	5	0	0.077	-3.698	-4.668	3.03857749650474e-06	1.6560503638365e-05	1.2132	1.1773	1.2051	1.2051	TRUE	0.892
ENST00000573483	5	3	5	2	5	3	5	5	2	3	0	0	0	0	1	0	0	0	1	0	4	3	4	2	5	3	5	4	2	3	0	0	0	0	1	0	0	0	1	0	1.78	4	0	0.119	-3.065	-4.668	3.04607847038054e-06	1.65962944714586e-05	0	1.4292	0.2279	0.2279	TRUE	0.0935
ENST00000392925	1	6	2	3	3	5	3	2	3	2	0	0	0	0	0	0	0	0	0	0	1	5	2	2	3	5	3	2	2	2	0	0	0	0	0	0	0	0	0	0	1.33	3	0	0.107	-3.218	-4.667	3.05464346015636e-06	1.66404090395397e-05	0	1.7832	0.3818	0.3818	TRUE	0.1545
ENST00000487571	4	4	5	2	2	2	2	2	11	1	0	0	0	0	0	0	0	0	0	0	4	3	4	2	2	2	2	2	9	1	0	0	0	0	0	0	0	0	0	0	1.51	3	0	0.099	-3.343	-4.667	3.0563867586809e-06	1.66473540848305e-05	0.3214	1.6123	0.5744	0.5744	TRUE	0.6014
ENST00000527553	6	3	5	5	5	4	1	1	1	2	0	0	0	0	0	0	0	0	0	0	5	3	4	4	5	4	1	1	1	2	0	0	0	0	0	0	0	0	0	0	1.45	3	0	0.101	-3.302	-4.666	3.06407321384052e-06	1.6686662889962e-05	0	1.6633	0.5094	0.5094	TRUE	0.0221
ENST00000510091	3	3	3	4	3	1	2	3	3	3	0	0	0	0	0	0	0	0	0	0	3	3	3	3	3	1	2	3	2	3	0	0	0	0	0	0	0	0	0	0	1.22	3	0	0.113	-3.147	-4.666	3.0672307513494e-06	1.66987409471442e-05	0	1.9076	0.279	0.279	TRUE	0.0503
ENST00000523986	2	4	3	3	3	4	3	2	2	2	0	0	0	0	0	0	0	0	0	0	2	3	3	2	3	4	3	2	2	2	0	0	0	0	0	0	0	0	0	0	1.24	3	0	0.112	-3.153	-4.666	3.06679458551829e-06	1.66987409471442e-05	0	1.8833	0.2883	0.2883	TRUE	0.0413
ENST00000372792	180	188	176	227	153	224	151	155	165	143	3	26	9	1	77	5	19	35	78	76	159	162	150	187	141	214	143	134	137	125	4	28	9	1	73	6	21	36	74	75	93.92	155	33	0.231	-2.111	-4.666	3.06917043887884e-06	1.67067418284199e-05	0.5492	0.4063	0.5352	0.5352	TRUE	0.6199
ENST00000590723	8	7	8	8	9	8	5	3	5	3	0	1	0	1	1	1	0	1	1	1	7	6	7	7	8	8	5	3	4	3	0	1	0	1	1	1	0	1	1	1	3.19	6	1	0.16	-2.647	-4.666	3.07229835523881e-06	1.67212072810394e-05	0	0.9679	0.146	0.146	TRUE	0.0591
ENST00000367871	2	2	5	8	8	3	3	0	2	4	0	0	0	0	0	0	0	0	0	0	2	2	4	7	7	3	3	0	2	4	0	0	0	0	0	0	0	0	0	0	1.63	3	0	0.095	-3.401	-4.666	3.07439944371366e-06	1.67300805741209e-05	0.3851	1.5264	0.6696	0.6696	TRUE	0.0727
ENST00000302763	71	66	50	58	63	45	81	55	59	66	9	17	43	17	23	39	20	17	41	19	63	57	43	48	58	43	76	48	49	58	12	18	44	20	22	46	22	17	39	19	40.04	54	26	0.485	-1.045	-4.665	3.08200893236884e-06	1.67689218396186e-05	0.0715	0.4329	0.0951	0.0951	TRUE	0.3315
ENST00000288986	12	7	6	6	6	5	3	4	11	6	0	0	0	0	1	0	0	0	2	3	11	6	5	5	6	5	3	3	9	5	0	0	0	0	1	0	0	0	2	3	3.17	6	1	0.139	-2.843	-4.665	3.09058590198582e-06	1.68104412238408e-05	0.0304	0.9711	0.2085	0.2085	TRUE	0.5661
ENST00000261965	12	19	16	17	11	17	10	12	11	13	0	4	3	3	5	4	6	5	5	8	11	16	14	14	10	16	9	10	9	11	0	4	3	4	5	5	7	5	5	8	8.3	12	5	0.385	-1.376	-4.665	3.09360763964998e-06	1.68243022973467e-05	0	0.6102	0.0663	0.0663	TRUE	0.1485
ENST00000477002	14	0	11	5	16	36	0	12	14	0	0	0	0	0	0	0	0	0	1	0	12	0	9	4	15	34	0	10	12	0	0	0	0	0	0	0	0	0	1	0	4.9	10	0	0.06	-4.071	-4.664	3.09880386560432e-06	1.68499830758227e-05	2.6978	0.7653	2.0922	2.0922	TRUE	0.1464
ENST00000522936	2	9	14	11	14	2	0	3	4	4	0	0	0	0	0	0	0	2	0	0	2	8	12	9	13	2	0	3	3	4	0	0	0	0	0	0	0	2	0	0	2.84	6	0	0.088	-3.503	-4.664	3.10118552448292e-06	1.68603539146585e-05	0.8396	1.0406	0.8854	0.8854	TRUE	0.3736
ENST00000478276	5	6	4	5	4	3	4	5	4	3	0	0	0	1	1	0	0	0	1	0	4	5	3	4	4	3	4	4	3	3	0	0	0	1	1	0	0	0	1	0	2.04	4	0	0.126	-2.985	-4.664	3.10495151920237e-06	1.68730851670416e-05	0	1.2969	0.1551	0.1551	TRUE	0.0957
ENST00000437222	19	2	2	0	5	24	1	7	2	4	0	0	0	0	0	0	0	0	0	0	17	2	2	0	5	23	1	6	2	4	0	0	0	0	0	0	0	0	0	0	3	6	0	0.068	-3.878	-4.663	3.11422837012361e-06	1.69183241018332e-05	1.7893	1.0058	1.6018	1.6018	TRUE	0.5663
ENST00000493212	3	2	2	2	4	4	3	2	3	3	0	0	0	0	0	0	0	0	0	0	3	2	2	2	4	4	3	2	2	3	0	0	0	0	0	0	0	0	0	0	1.25	3	0	0.112	-3.155	-4.663	3.11918012044531e-06	1.69426351032594e-05	0	1.8762	0.2935	0.2935	TRUE	0.0409
ENST00000497550	2	5	8	10	7	4	1	7	5	9	0	0	0	0	0	0	1	1	2	0	2	4	7	8	6	4	1	6	4	8	0	0	0	0	0	0	1	1	2	0	2.72	5	0	0.119	-3.075	-4.663	3.12305006087446e-06	1.69610634418518e-05	0	1.0684	0.2883	0.2883	TRUE	0.2481
ENST00000586245	3	8	4	3	3	3	5	1	5	1	0	0	0	0	1	0	0	0	0	0	3	7	3	2	3	3	5	1	4	1	0	0	0	0	1	0	0	0	0	0	1.63	3	0	0.109	-3.197	-4.662	3.12953130978086e-06	1.69936658135388e-05	0	1.5249	0.3867	0.3867	TRUE	0.1196
ENST00000565458	5	9	7	3	9	8	7	9	7	2	0	0	1	2	1	1	0	0	1	1	4	8	6	2	8	8	7	8	6	2	0	0	1	2	1	1	0	0	1	1	3.3	6	1	0.156	-2.68	-4.662	3.13062976027901e-06	1.69970335594739e-05	0	0.9495	0.1806	0.1806	TRUE	0.1554
ENST00000488236	3	5	4	5	6	9	3	2	0	1	0	0	0	0	0	0	0	0	0	0	3	4	3	4	6	9	3	2	0	1	0	0	0	0	0	0	0	0	0	0	1.7	4	0	0.092	-3.434	-4.662	3.13398471471486e-06	1.70126495739982e-05	0.4691	1.4768	0.7296	0.7296	TRUE	0.1075
ENST00000495196	10	11	12	12	11	12	11	12	10	10	2	3	3	3	6	2	1	3	5	4	9	9	10	10	10	11	10	10	8	9	3	3	3	4	6	2	1	3	5	4	6.56	10	3	0.359	-1.479	-4.661	3.14314418638582e-06	1.70597654832242e-05	0	0.6695	0.0539	0.0539	TRUE	0.0979
ENST00000383807	6	3	3	11	4	2	0	2	5	2	0	0	0	0	0	0	0	0	0	0	5	3	3	9	4	2	0	2	4	2	0	0	0	0	0	0	0	0	0	0	1.64	3	0	0.094	-3.41	-4.661	3.14967215046028e-06	1.70925863837774e-05	0.4253	1.5209	0.6893	0.6893	TRUE	0.1885
ENST00000625924	3	11	6	7	1	2	4	2	5	4	0	0	0	0	0	0	0	0	2	0	3	9	5	6	1	2	4	2	4	4	0	0	0	0	0	0	0	0	2	0	2.04	4	0	0.108	-3.21	-4.66	3.15912031216286e-06	1.71386255372108e-05	0.2076	1.2943	0.4307	0.4307	TRUE	0.4806
ENST00000611848	6	10	8	8	10	12	7	6	5	2	0	0	0	1	2	0	3	2	1	1	5	9	7	7	9	11	7	5	4	2	0	0	0	1	2	0	3	2	1	1	3.8	7	1	0.187	-2.42	-4.659	3.18197895468567e-06	1.72547348259885e-05	0.0408	0.8748	0.1912	0.1912	TRUE	0.2178
ENST00000371142	41	21	36	41	39	35	31	26	30	23	7	13	13	11	18	13	17	17	17	15	36	18	31	34	36	34	29	22	25	20	9	14	13	13	17	15	19	17	16	15	21.68	28	15	0.53	-0.915	-4.658	3.19331207562392e-06	1.73082676784618e-05	0	0.4722	0.0435	0.0435	TRUE	0.0726
