Id,CD1,CD2,CD3,CD4,CD5,CD6,CD7,CD8,CD9,CD10,BJ1,BJ2,BJ3,BJ4,BJ5,BJ6,BJ7,BJ8,BJ9,BJ10
ENST00000448745,0,7,0,0,3,0,0,3,1,3,1,1,52,18,0,12,25,13,26,24
ENST00000228872,75,10,3,90,44,71,19,45,33,65,97,124,127,122,199,193,126,156,95,188
ENST00000537046,2,1,1,3,3,1,4,2,2,4,2,2,1,1,1,1,3,1,3,3
ENST00000413792,18,6,6,22,4,7,11,12,11,13,10,7,6,9,14,13,6,2,12,4
ENST00000424959,0,0,1,0,1,2,0,1,2,1,1,0,1,1,0,1,0,1,1,3
ENST00000463441,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,2,0,1,1,1
ENST00000524736,1,1,1,1,1,1,0,1,4,3,0,0,0,0,1,0,0,2,1,1
ENST00000590986,0,0,0,0,0,0,0,0,0,0,2,1,2,9,0,0,1,1,2,0
ENST00000535644,3,0,1,1,0,4,1,2,0,7,1,12,2,0,2,3,0,0,1,0
ENST00000460059,2,2,1,1,1,1,2,1,1,1,2,3,4,3,0,2,0,2,3,2
ENST00000557557,0,1,1,0,0,0,0,0,0,0,4,3,4,1,1,1,0,1,2,1
ENST00000438724,0,9,0,5,6,0,0,10,1,9,11,9,10,13,9,9,14,6,8,6
ENST00000470329,0,0,0,0,1,0,0,0,0,0,3,2,2,2,0,1,2,1,2,2
ENST00000561195,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,1,0,1
ENST00000264028,0,0,0,0,14,0,5,0,2,11,35,16,21,18,23,20,11,13,17,14
ENST00000483653,0,0,0,0,0,0,0,0,0,1,4,4,2,3,1,2,3,3,3,3
ENST00000476670,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,0,1,2,1,0
ENST00000367475,0,0,0,0,1,0,0,0,0,0,8,9,7,6,8,12,2,5,3,2
ENST00000557435,0,0,0,0,0,0,0,0,0,0,55,56,37,46,21,19,15,24,27,15
ENST00000503114,0,0,0,0,1,1,1,0,1,0,1,1,1,1,0,0,1,2,1,1
ENST00000548264,0,0,0,0,0,0,0,0,0,0,1,1,4,0,2,4,1,0,0,0
ENST00000483212,1,6,4,5,5,1,5,4,5,3,3,3,2,4,1,3,2,3,3,1
ENST00000556068,0,0,0,0,1,0,0,0,0,0,3,5,5,7,8,7,3,2,2,1
ENST00000578376,2,1,4,0,2,5,5,2,12,0,7,14,8,12,5,2,0,6,5,13
ENST00000318348,0,29,1,30,34,31,35,36,4,33,42,55,42,43,33,50,7,33,20,24
ENST00000559450,0,5,5,6,4,0,4,2,4,1,2,0,2,3,2,1,0,1,0,3
ENST00000590637,0,0,1,2,1,0,0,0,0,1,0,0,0,1,1,0,3,3,0,1
ENST00000522965,15,6,9,13,12,9,6,10,5,7,15,18,21,32,23,19,31,17,16,16
ENST00000357582,0,0,0,0,0,0,0,0,0,0,1,1,3,1,2,0,0,0,0,3
ENST00000474086,0,0,0,0,0,1,0,1,1,1,3,0,0,3,1,2,2,0,2,3
ENST00000538442,10,9,5,1,2,9,2,5,5,3,17,11,13,9,17,17,19,11,20,18
ENST00000537589,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1,0
ENST00000538437,5,0,3,6,9,5,20,7,3,2,1,0,2,2,0,3,0,2,4,1
ENST00000563362,1,2,2,2,4,2,1,1,1,1,3,2,3,5,1,4,4,3,2,1
ENST00000398803,0,43,3,0,18,0,10,1,0,18,1,1,2,1,0,2,9,6,9,7
ENST00000504792,0,20,10,8,6,0,11,3,13,7,27,37,37,28,18,17,23,25,48,9
ENST00000361445,0,0,1,0,0,0,0,0,1,1,10,11,9,13,7,11,9,7,8,6
ENST00000587416,13,25,12,26,26,14,14,17,10,9,31,27,20,23,21,36,17,23,40,54
ENST00000595941,2,0,1,2,3,1,0,1,1,0,2,4,4,3,5,3,3,6,5,5
ENST00000540486,21,27,34,19,49,24,27,26,19,26,7,9,3,13,5,9,26,16,10,12
ENST00000590706,0,0,0,0,0,1,0,0,0,0,0,0,2,5,2,0,0,0,4,3
ENST00000354926,0,7,0,12,4,0,4,6,4,1,8,28,28,16,4,35,16,17,9,7
ENST00000601697,4,13,15,6,5,5,6,6,20,16,3,4,7,5,2,5,9,13,8,4
ENST00000399312,1,5,3,1,4,2,5,3,6,6,13,7,11,8,8,6,5,31,9,8
ENST00000534826,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,3,2,0
ENST00000372134,57,155,121,95,191,112,133,126,151,149,236,236,222,223,185,218,247,208,194,134
ENST00000468285,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4,2,1,0
ENST00000623817,1,0,2,0,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
ENST00000506955,17,19,26,29,38,16,36,28,50,21,42,47,41,51,32,33,26,79,68,82
ENST00000454635,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,1,0,2,0,1
ENST00000272542,32,30,36,35,37,31,27,27,36,35,42,35,38,43,48,25,49,23,37,33
ENST00000569044,0,0,0,0,0,0,0,0,0,0,4,1,2,4,6,3,2,1,1,1
ENST00000511552,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,2,3,0,33,1
ENST00000483871,0,4,1,1,9,4,3,1,2,5,12,11,12,14,8,13,9,13,18,4
ENST00000393304,8,1,0,0,0,8,7,1,0,0,1,2,11,0,0,20,0,0,5,4
ENST00000621232,47,95,91,86,103,94,87,77,84,92,113,114,119,103,72,111,50,86,84,109
ENST00000594665,3,6,7,7,10,0,5,12,8,7,21,17,21,19,16,19,11,24,20,20
ENST00000589454,1,2,1,2,0,1,1,2,1,0,1,1,0,0,0,0,1,2,0,0
ENST00000460260,1,3,5,5,17,0,1,4,6,5,40,26,37,24,84,52,50,27,22,55
ENST00000426523,8,20,29,10,19,13,20,34,46,51,68,116,100,72,47,40,27,30,93,89
ENST00000505220,0,0,0,0,0,0,0,0,0,0,1,2,1,0,1,1,5,0,1,2
ENST00000301522,4,1,5,2,1,5,1,4,6,1,2,2,1,2,0,1,3,11,3,2
ENST00000474437,1,3,2,0,4,0,2,2,2,3,12,15,16,14,12,20,19,4,8,7
ENST00000620047,1,11,10,4,11,28,39,24,23,23,10,7,3,2,4,1,18,4,3,1
ENST00000346183,21,20,25,24,20,27,17,30,26,16,25,21,16,22,12,21,24,12,10,9
ENST00000430793,3,6,8,5,11,11,11,13,12,6,6,8,7,6,6,5,8,11,8,10
ENST00000398606,51,46,111,28,31,114,146,94,137,35,25,30,21,32,16,31,30,36,45,14
ENST00000544402,0,0,0,0,6,0,0,0,8,3,0,8,1,0,0,0,4,0,0,0
ENST00000371851,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,2,0,1,0
ENST00000617672,4,0,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ENST00000392092,5,5,2,5,4,0,4,1,3,6,6,6,4,8,2,5,5,7,8,4
ENST00000489826,0,1,0,2,2,0,1,2,3,0,2,3,1,2,4,2,8,2,4,2
ENST00000562686,0,1,1,1,0,0,0,0,0,0,2,2,2,2,2,3,4,2,6,5
ENST00000553695,0,0,0,0,0,0,0,0,0,0,2,5,4,4,2,6,1,1,2,2
ENST00000525776,0,1,1,1,0,0,0,1,1,1,2,3,1,4,2,2,0,2,2,2
ENST00000221801,10,1,14,9,3,14,16,16,23,8,8,7,4,12,3,6,1,8,4,2
ENST00000585873,1,2,0,4,4,2,2,1,1,7,15,7,12,30,70,19,11,8,12,12
