"","SRR12650992","SRR12650993","SRR12650994","SRR12650995"
"ENSMUSG00000020964",4323.63626907889,5496.09900741993,4029.54644776617,4328.68127164036
"ENSMUSG00000076672",27.072492292575,18.0146272591237,9.02221426871799,14.9867787823671
"ENSMUSG00000094694",7.9624977331103,0,0,17.4845752460949
"ENSMUSG00000095204",36.6274895723074,0,22.555535671795,12.4889823186392
"ENSMUSG00000094502",9.55499727973237,0,12.4055446194872,42.4625398833734
"ENSMUSG00000069755",9.55499727973237,9.8261603231584,0,0
"ENSMUSG00000052632",312.129911137924,158.856258557727,60.8999463138464,153.614482519263
"ENSMUSG00000062352",353.534899350097,531.43150414415,368.783008233848,337.202522603259
"ENSMUSG00000054309",1500.13457291798,1817.02081309071,1222.51003341129,1017.8520589691
"ENSMUSG00000062054",211.802439700734,267.762868806066,111.649901575385,177.343548924677
"ENSMUSG00000079104",118.641216223344,148.211251540973,147.738758650257,87.4228762304747
"ENSMUSG00000047022",17.5174950128427,32.7538677438613,0,12.4889823186392
"ENSMUSG00000021256",50.1637357185949,49.130801615792,42.8555177764104,34.9691504921899
"ENSMUSG00000021257",84.4024759709692,45.8554148414059,22.555535671795,4.9955929274557
"ENSMUSG00000034501",55.7374841317721,83.5223627468464,4.51110713435899,57.4493186657405
"ENSMUSG00000057469",160.842454208828,170.320112268079,115.033231926154,89.9206726942025
"ENSMUSG00000020580",3644.43521244459,3837.11560619336,2208.18694226873,2942.4042342714
"ENSMUSG00000045679",1407.7695992139,1600.84528598122,2378.48123659078,2263.00359613743
"ENSMUSG00000071398",35.0349900256853,17.1957805655272,16.9166517538462,47.4581328108291
"ENSMUSG00000020571",2512.96428456961,2755.41912395233,2040.14820151385,1904.56980359248
"ENSMUSG00000020566",11.1474968263544,0,0,16.235677014231
"ENSMUSG00000021203",139.34371032943,93.3485230700048,58.6443927466669,39.9647434196456
"ENSMUSG00000055271",23.0912434260199,9.00731362956187,22.555535671795,1.24889823186392
"ENSMUSG00000041645",3134.83535752553,3159.11054389543,2682.98096816001,2387.89341932382
"ENSMUSG00000113328",650.536064795112,442.177214542128,447.72738308513,427.123195297462
"ENSMUSG00000064215",433.159876681201,380.763712522388,1348.82103317334,1569.86507745295
"ENSMUSG00000079017",656.109813208289,420.887200508618,2792.37531616822,2728.84263662267
"ENSMUSG00000021200",242.856180859864,422.524893895811,84.5832587692311,97.4140620853861
"ENSMUSG00000113587",167.212452395316,220.269760577467,72.1777141497439,51.2048275064209
"ENSMUSG00000122113",37.4237393456184,38.4857945990371,7.89443748512824,4.9955929274557
"ENSMUSG00000120697",565.337339050832,867.158648518729,162.399856836924,178.592447156541
