"","logFC","AveExpr","t","P.Value","adj.P.Val","B","significant"
"Sdhaf1",1.69935133700742,2.38009343123018,2.97953282054626,0.0110621136577646,0.0235113999102329,-2.79982578881353,TRUE
"Cep20",-0.70125814789765,4.53607292103754,-3.33159925903293,0.00568608863934348,0.0136479775321776,-2.8015770040472,FALSE
"4933431G14Rik",-1.35756892280619,2.45848980901824,-3.0160348859991,0.010324421964882,0.0222569053406241,-2.80221117323921,TRUE
"Cpsf7",-0.472129365788562,7.71046282405674,-3.55534018708083,0.00373173450213926,0.00969596492923485,-2.80370459142616,FALSE
"Wdr77",-0.893486354721815,3.69018509513168,-3.20449684521752,0.0072290690697691,0.0165235864451865,-2.80818331353592,FALSE
"Fn1",0.495078426647024,7.69007426075284,3.55180391601735,0.00375658176509125,0.00973944064378752,-2.81004854328286,FALSE
"Oas1g",-1.10644428150575,3.12443067869215,-3.10917666930067,0.00865690888457564,0.0192167732446602,-2.81101425411572,TRUE
"Ttll3",-0.648734832795611,5.14075090749663,-3.39739844311573,0.00502251616646716,0.0123669219242035,-2.8117427000503,FALSE
"Dido1",0.520870531869299,6.63580518858448,3.50460171527597,0.00410481311371263,0.0104748022040514,-2.82028972178976,FALSE
"Nckap5l",1.31338627172021,2.68793902831378,3.01454033182484,0.0103536410161794,0.0223018654091101,-2.82123088238961,TRUE
"Trappc11",0.765577797727419,4.41244211117552,3.28230957131751,0.00624060411358341,0.0147215357016091,-2.82513290798566,FALSE
"Ssr3",-0.49527251014632,7.31957013352245,-3.53364030382417,0.00388688308372057,0.010008067161173,-2.8254891184192,FALSE
"Akirin2",0.898668417626823,3.76952317928828,3.17740568506894,0.00760897572137618,0.0172594886230844,-2.82903263355143,FALSE
"Fcrl1",-0.960569019690122,3.42349314529662,-3.14709591700969,0.0080578210201562,0.01804663162409,-2.8328861775195,FALSE
"Zfp157",1.41574946628607,2.61712952200851,2.99202717672766,0.0108038812412453,0.0230913838979328,-2.8402492374708,TRUE
"Cyp4f13",-0.685355014129906,4.69725289638609,-3.33015026428663,0.00570165833140823,0.0136771414246674,-2.8419430027433,FALSE
"Rpl32",0.645366442578753,5.48997169078946,3.40453949210675,0.00495538064737599,0.0122355077712987,-2.84214670932127,FALSE
"Smarca4",0.605095923138247,5.85888411863142,3.43784570585207,0.00465405677291166,0.01162787451071,-2.84486989213845,FALSE
"Ikbkg",-0.629166363902418,6.19901641157568,-3.47161962824879,0.00436743861524053,0.0110323678313623,-2.84494478165262,FALSE
"Ncoa5",0.759909597459744,4.46696703006526,3.27934487928817,0.00627564551372152,0.0147749158651478,-2.84631810695003,FALSE
"Ppp1r18",-0.474512627386607,8.40113755791629,-3.5522989957506,0.00375309303282439,0.00973880774005681,-2.84757753797,FALSE
"Pno1",1.24808154495749,2.69180202983645,2.99934010968687,0.0106555315369771,0.0228353207328736,-2.85315369714881,TRUE
"Rad50",1.15614517967793,3.03967177087784,3.04684162183786,0.00974012354915867,0.0211969206737097,-2.85521821604353,TRUE
"Psen1",-0.478106191725347,7.14443613852166,-3.51244345168456,0.00404476678675927,0.0103671421976376,-2.85681588986562,FALSE
"Hnrnpu",0.489593714172821,8.620333745515,3.5517461241334,0.00375698922834104,0.00973944064378752,-2.85737743546736,FALSE
"Eaf1",-0.574607896313227,7.14832350869683,-3.51211883882058,0.00404723464814034,0.0103675559350377,-2.85757715019636,FALSE
"Sts",-1.219628092547,2.60382845150403,-3.00544096314284,0.01053332347684,0.0226279773938561,-2.85983591105068,TRUE
"Pnpla6",0.832380559575829,4.11049204599088,3.21464621110232,0.00709169954935062,0.0162653659388776,-2.86189214847579,FALSE
"Cct4",0.597305409572257,5.66717847451244,3.41079440554534,0.00489732248717755,0.012129591299511,-2.86478723956087,FALSE
"Cd82",-0.474143429711866,8.32601304032621,-3.54047839250735,0.00383729742405795,0.00991549721978797,-2.86601886020823,FALSE
"Ide",1.12085759274392,3.19276841872091,3.06400680327715,0.00942899761977238,0.0206350165368213,-2.86668711177501,TRUE
"Pomt1",1.40278608602836,2.62104986348747,2.97702458728465,0.0111146892526864,0.0236123134705612,-2.8694411463587,TRUE
"Nip7",1.17220767724111,3.01903570603423,3.03606750050836,0.00994062224592354,0.0215573266379475,-2.86993796900815,TRUE
"Tuba1a",-0.685438942222639,5.12652051721843,-3.36442088712269,0.00534468833342136,0.0130199472190533,-2.87073798927696,FALSE
"Scarb2",0.515046315718013,7.27118360467523,3.50620028398125,0.00409249940680668,0.0104467119510062,-2.87079666697125,FALSE
"Arhgap11a",0.975334238192068,4.03443576255666,3.19295656396716,0.00738851569125218,0.0168351254713806,-2.87100942246772,FALSE
"Tmod3",-0.480087803338464,7.52986421288617,-3.51368261303693,0.00403536013748186,0.0103537142719227,-2.87358462434069,FALSE
"Dnajc3",0.644084515646454,5.15715594921132,3.35284746494701,0.00546264179261614,0.0132307400366119,-2.87403913609056,FALSE
"Srsf7",0.533814900413259,6.48112504909918,3.46708835996492,0.00440482835598944,0.0111047541847873,-2.87456595455343,FALSE
"Klhdc2",1.24727034803541,2.694297525899,2.98388923668897,0.0109713854226433,0.0233495832352079,-2.88146815547281,TRUE
"Tada3",-0.689993674465823,4.56362037299168,-3.29244748912941,0.00612226143861027,0.0145270192346735,-2.88176594700952,FALSE
