"","logFC","AveExpr","t","P.Value","adj.P.Val","B","significant"
"Retnlg",-5.30003775215068,7.37881907280703,-32.0214762467121,2.2937496833271e-13,1.83499974666168e-09,20.4717713103981,TRUE
"Cxcr2",-2.95096678312299,9.64963888038311,-23.9078314965139,8.34362903002123e-12,1.79742778173892e-08,17.6109370442127,TRUE
"S100a9",-2.79146650534534,11.7682706855244,-23.4503612284852,1.0568567841297e-11,1.79742778173892e-08,17.4037548939212,TRUE
"Thbs1",-2.60490634332194,13.6758055401884,-22.95393943544,1.37281981233007e-11,1.79742778173892e-08,17.1480982810655,TRUE
"Cstdc4",-3.64894514851405,6.86907954802459,-22.943960232151,1.38013363509559e-11,1.79742778173892e-08,16.9840751398475,TRUE
"Slc16a3",-2.90610371946292,9.81430651465081,-22.4961642041483,1.75578196541934e-11,1.79742778173892e-08,16.890682832784,TRUE
"Grina",-2.55451727869019,10.7165917610325,-22.1410717814404,2.13205858253619e-11,1.79742778173892e-08,16.7064759957517,TRUE
"Slfn4",-2.93002923923802,10.912911114882,-22.1216923776055,2.15495634622649e-11,1.79742778173892e-08,16.6966673398612,TRUE
"Trim30b",-2.95741727981669,7.89207036050469,-22.1577809444025,2.11252638763761e-11,1.79742778173892e-08,16.6789892360687,TRUE
"Stx11",-2.87403844529555,8.81025313620304,-22.0461441806616,2.24678472717365e-11,1.79742778173892e-08,16.6375226460007,TRUE
"Pla2g7",-2.82430280526799,8.07395642331799,-21.6676169239444,2.77501747934225e-11,1.92080641058406e-08,16.4214952613275,TRUE
"Slc2a3",-3.96939228370868,8.47749491835424,-21.4677535543797,3.106725852225e-11,1.92080641058406e-08,16.3144157505849,TRUE
"Gk",-3.21099042313843,6.8846957107674,-21.4365501543241,3.16226283444663e-11,1.92080641058406e-08,16.231882486672,TRUE
"Xdh",-3.12793197433277,7.73572488009427,-21.2390811722874,3.53951592552779e-11,1.92080641058406e-08,16.174943713183,TRUE
"Trpm2",-4.16241373015821,7.6890729267214,-21.208811611784,3.6015120198451e-11,1.92080641058406e-08,16.1405289499257,TRUE
"Ripor2",-2.89952022729838,7.72923208716645,-20.83350367046,4.47551386665701e-11,2.12085007356083e-08,15.9494828249024,TRUE
"Mcemp1",-2.77228229026858,7.74329501669288,-20.8215726992251,4.50680640631677e-11,2.12085007356083e-08,15.9439223405015,TRUE
"Sesn2",-2.7532700375686,7.97669333462091,-20.305101760469,6.11587834139053e-11,2.71816815172912e-08,15.6504964478218,TRUE
"Tpd52",-2.40181219317447,9.98441087651083,-20.0893955851956,6.96277320019852e-11,2.72499907238177e-08,15.5308663050368,TRUE
"Sell",-3.38723063035336,8.82840227738979,-19.9695193517859,7.48739459666265e-11,2.72499907238177e-08,15.4568625739594,TRUE
"Mmp8",-3.91424846568718,7.00970988686802,-19.9684413237747,7.49230144043764e-11,2.72499907238177e-08,15.4033924416885,TRUE
"Wfdc17",-3.54788318954472,6.75853015499858,-19.9681237824761,7.49374744904986e-11,2.72499907238177e-08,15.3942151702957,TRUE
"Glrx",-2.93001902320014,7.23600426954293,-19.7075768292524,8.78807744414455e-11,2.97702503645892e-08,15.2793373896694,TRUE
"Actg1",-2.303627043567,11.5635734245952,-19.6813613071988,8.93107510937676e-11,2.97702503645892e-08,15.2751789543636,TRUE
"Hp",-2.73433555197866,8.39776592915452,-19.4216700267084,1.04911332454163e-10,3.29842113311258e-08,15.122027041299,TRUE
"Klra2",-3.14360411739568,6.68498168046182,-19.38712487566,1.07198686826159e-10,3.29842113311258e-08,15.0583531458595,TRUE
"Adam8",-3.26728621612189,11.2650742794703,-19.2192545746503,1.19105754639278e-10,3.42194116623473e-08,14.9869564971053,TRUE
"Slpi",-2.5888985477716,8.52727472038214,-19.1034804710762,1.28144338388061e-10,3.47504590777848e-08,14.9238661003944,TRUE
"Dgat2",-2.5298893561886,7.71974538699998,-19.0376485813569,1.33611360810311e-10,3.47504590777848e-08,14.8800489005209,TRUE
"Isg20",-3.33967751351453,6.36671840624739,-19.0152049312566,1.35532219638665e-10,3.47504590777848e-08,14.8028737297055,TRUE
"Siglecf",3.46711790495044,7.06885192250962,18.9755207513686,1.39001836311139e-10,3.47504590777848e-08,14.802361089625,TRUE
"Padi4",-3.73339886814753,5.73755713959847,-19.2104561535319,1.19767940818216e-10,3.42194116623473e-08,14.7842112789008,TRUE
"Rdh12",-4.53415985423963,8.07723700289769,-18.8816206685486,1.47598670735044e-10,3.57814959357682e-08,14.7790363042923,TRUE
"Pira11",-2.72489149476139,7.34039248893621,-18.7459912958449,1.61042866945886e-10,3.61349126918572e-08,14.6915321525132,TRUE
"Slc27a4",-2.54023892518824,8.28913132509273,-18.7246746033317,1.63273259928157e-10,3.61349126918572e-08,14.6829209773477,TRUE
"Entpd1",-2.84924499085162,10.6046686683744,-18.6474091454818,1.71640835286322e-10,3.61349126918572e-08,14.6226027098853,TRUE
"Pglyrp1",-2.88861653710625,6.50142381817371,-18.6756310705779,1.68532135654717e-10,3.61349126918572e-08,14.6181928010972,TRUE
"Stfa2l1",-3.49196637376207,6.24828578596776,-18.7161205554284,1.64177618766976e-10,3.61349126918572e-08,14.6020255452729,TRUE
"Themis2",-2.34839690299969,9.30912337750254,-18.4932683965765,1.89746862787019e-10,3.80394442513458e-08,14.5298769484432,TRUE
"S100a8",-2.48403413758932,10.7927035038643,-18.4896391487313,1.90197221256729e-10,3.80394442513458e-08,14.5172284545178,TRUE
"AU020206",3.01749018294524,6.88311630344765,18.3375536745147,2.1014505008797e-10,4.10039122122869e-08,14.4044297103797,TRUE
"Por",-2.47604312429321,8.97606330272083,-18.2634341238774,2.20673724339033e-10,4.19038482623288e-08,14.3802281383982,TRUE
"Ifitm1",-2.25769241983036,8.97961609963673,-18.2325107115188,2.25233184410017e-10,4.19038482623288e-08,14.3595244999222,TRUE
"Selenon",-3.15003407401008,9.81816379803218,-18.1431644839458,2.38986492574798e-10,4.29234270976946e-08,14.2948657109078,TRUE
"Gda",-2.27806300848308,8.76087125101784,-18.1277823800901,2.41444277424532e-10,4.29234270976946e-08,14.2909592970983,TRUE
"Sp140",-2.43633365156508,7.41162682758792,-17.9202855410756,2.77398468830768e-10,4.63599260670906e-08,14.1556591899152,TRUE
"Fgl2",-2.27274335779637,9.14311061807302,-17.9291939845722,2.75741692559696e-10,4.63599260670906e-08,14.1551442210048,TRUE
"Oas3",-3.01848213539538,7.43421793271728,-17.8949034535498,2.82178064405492e-10,4.63599260670906e-08,14.1382329710979,TRUE
"Pira2",-2.5347402872736,7.12471156972715,-17.8855872747937,2.8395454716093e-10,4.63599260670906e-08,14.130832487065,TRUE
"Sh2d3c",-2.70516699283142,9.31358822075344,-17.4189280087176,3.90384780328377e-10,6.14304742658663e-08,13.8034862018384,TRUE
"Ngp",-5.20124866150169,6.63942723456415,-17.4143565359468,3.91619273444898e-10,6.14304742658663e-08,13.7386918011683,TRUE
"ENSMUSG00000115946",-3.03324227233123,6.014390017485,-17.359709234179,4.0670637646865e-10,6.25702117644076e-08,13.7349900216096,TRUE
"Rab44",-2.34526308227562,9.90077672107133,-17.282919191772,4.28974023371932e-10,6.43686677963745e-08,13.7013111186418,TRUE
"Smox",-2.38262029221088,10.3240150304214,-17.2645652078223,4.34488507625528e-10,6.43686677963745e-08,13.6836026320888,TRUE
"Hdac4",-2.68162232436292,7.17669179844735,-17.2249261931507,4.46660360360709e-10,6.49687796888304e-08,13.6823196229531,TRUE
"Pde7b",-3.19055574363642,6.0927353148246,-17.1750936019701,4.62485919044421e-10,6.60694170063458e-08,13.6127312027908,TRUE
"Slc40a1",-2.49587502501255,7.58264587627379,-17.0896647219744,4.91038449289323e-10,6.86307433150795e-08,13.5861203675871,TRUE
"Srgn",-2.00973798982296,12.3785427901418,-17.0708659536926,4.97572889034326e-10,6.86307433150795e-08,13.5164502226689,TRUE
"Actb",-1.78041557824947,13.0613630884754,-17.0301196395853,5.12059995013994e-10,6.9431863730711e-08,13.4758463815324,TRUE
"Cd14",-1.88030751582879,11.886895069566,-16.9180816980386,5.54287734376907e-10,7.39050312502542e-08,13.4134258354933,TRUE
"Nampt",-2.49035367511549,8.04026815274688,-16.7327173391237,6.32611921874247e-10,8.29654979507209e-08,13.3275365826696,TRUE
"Slc15a3",-2.09148601048197,10.3253256013263,-16.6815405784529,6.56279052907499e-10,8.46811681170967e-08,13.2632588658094,TRUE
"Slc11a1",-2.11843555060041,10.9540781899718,-16.6567511373661,6.68084360953499e-10,8.48361093274285e-08,13.2363870555861,TRUE
"S100a11",-2.19063160443898,9.73603115031946,-16.6029730771063,6.94488269688549e-10,8.68110337110686e-08,13.2133217216027,TRUE
"Tgm1",-4.41834576504387,6.22538843000348,-16.5048162157898,7.45623586129714e-10,9.17690567544264e-08,13.1204785962257,TRUE
"Crispld2",-2.96189670341664,6.01736882271777,-16.4235831749721,7.91010506893139e-10,9.44490157484345e-08,13.0959458049186,TRUE
"Hdc",-1.83745388553443,12.0046259932213,-16.4716928653342,7.63782524221363e-10,9.25796999056197e-08,13.0821309916597,TRUE
"Zyx",-2.01451883106551,9.93313337314191,-16.3544035586576,8.32010961051476e-10,9.78836424766442e-08,13.026303820744,TRUE
"Nsd3",-2.09562135209101,8.55251592348024,-16.3161822150222,8.55639989032034e-10,9.92046364095112e-08,13.0166692221118,TRUE
"Pbx1",-2.39593485396823,6.67614263945916,-16.1450572983532,9.7065549724236e-10,1.10932056827698e-07,12.911219747672,TRUE
"Ndel1",-2.03228897412092,9.55874470543834,-16.0962387321922,1.00644145443744e-09,1.1340185402112e-07,12.8373770780086,TRUE
"Pi16",-3.06839325915595,6.2193445066339,-15.9689920721281,1.10656712717614e-09,1.22951903019571e-07,12.7750994254027,TRUE
"Zfyve26",-2.39247005598443,7.92636619266491,-15.8311980378133,1.22721477023852e-09,1.34489289889153e-07,12.6591065920087,TRUE
"Cpne2",-2.41600796620671,6.85560555207476,-15.7306300142859,1.32418154688138e-09,1.40371009195864e-07,12.6000149105395,TRUE
"Lmnb1",-1.90399968939459,10.1228657912174,-15.7813555154063,1.27428066029862e-09,1.37760071383635e-07,12.5874205927722,TRUE
"Nedd9",-2.09537595275097,7.56704025658571,-15.7213614904855,1.33352458736071e-09,1.40371009195864e-07,12.5799726772465,TRUE
"Cnn2",-2.32232812453279,6.60379967165689,-15.6637821021463,1.39318002958371e-09,1.42890259444483e-07,12.5514506203697,TRUE
"Itgal",-1.86911768816805,9.90087942205754,-15.6864042236801,1.36940653726394e-09,1.42276003871578e-07,12.5170873806706,TRUE
"Sgms2",-1.87071897976244,9.74851061384513,-15.625815487634,1.43408319748148e-09,1.45223614934833e-07,12.4722222261424,TRUE
"Trim30a",-2.08640768083548,7.86268248500768,-15.5705542298118,1.49594551299194e-09,1.49594551299194e-07,12.4587182634013,TRUE
"Tinf2",-3.37818579612797,8.23191506717293,-15.5434781473635,1.52729892133157e-09,1.50844337909291e-07,12.4356006484965,TRUE
"Cd33",-1.94525507958692,10.3047846785664,-15.4793918851544,1.60436293745968e-09,1.56523213410701e-07,12.3481550011806,TRUE
"Trem1",-1.85904599606959,10.4908376641871,-15.4548112107686,1.63502288744279e-09,1.57592567464365e-07,12.3255547838742,TRUE
"Taldo1",-2.08087040960245,8.56159373742374,-15.3916065110751,1.71679247497031e-09,1.62269726121321e-07,12.308410114009,TRUE
"Dop1b",-1.97145705796828,8.27238581965507,-15.3861046242021,1.72411584003903e-09,1.62269726121321e-07,12.3083328126985,TRUE
"AB124611",-2.45810541529052,6.3952567149773,-15.1832758278359,2.01901144798761e-09,1.86952510273009e-07,12.1834086126845,TRUE
"Tpm4",-2.05406674455107,9.2604363700545,-15.1743936962556,2.03310854921897e-09,1.86952510273009e-07,12.1232525628967,TRUE
"Fmnl1",-1.76082713394339,10.4909209978584,-15.1405847638262,2.08774444508646e-09,1.89794949553314e-07,12.0740558062527,TRUE
"Sidt2",-2.10673428639982,9.36438946584104,-15.0284168208308,2.28062420083755e-09,2.04999928165173e-07,12.0036630588341,TRUE
"Csrnp1",-2.2036151031401,9.43936382820795,-14.9506670218054,2.42552955172399e-09,2.1560262681991e-07,11.9392218195237,TRUE
"Fcgr4",-2.33664496384173,6.21638663207892,-14.85256408311,2.62266174006178e-09,2.3056366945598e-07,11.9237833900198,TRUE
"Rnasel",-3.25817543227093,7.0789653469683,-14.7829740711056,2.77292055129419e-09,2.38530800111328e-07,11.8582909272301,TRUE
"St3gal6",-2.19161055870785,7.1257756581776,-14.7355844775112,2.88053147305045e-09,2.41742921820863e-07,11.8102502606622,TRUE
"Csf3r",-1.69191987736833,11.9461284812072,-14.8022944961644,2.73029651055903e-09,2.37417087874698e-07,11.7679055424106,TRUE
"Cd300ld",-1.80255247804295,9.22336792451159,-14.7139549279588,2.93113292707796e-09,2.41742921820863e-07,11.7481709983628,TRUE
"Ddx6",-1.73853400273564,10.0454756641228,-14.7163025445374,2.92559479064011e-09,2.41742921820863e-07,11.7346047056007,TRUE
"Nlrp12",-3.88978266361536,5.26240111011269,-14.7359561322201,2.87967025787125e-09,2.41742921820863e-07,11.7320063828999,TRUE
"Tnrc18",-1.83638022670639,9.04755266224939,-14.6403609554065,3.11059221256109e-09,2.53925894902946e-07,11.6906666396095,TRUE
"Carhsp1",-2.21770474524124,7.50429938350539,-14.5923209546818,3.23409234617861e-09,2.58727387694289e-07,11.6826712869626,TRUE
"D16Ertd472e",-2.21738854072355,6.50733770347375,-14.5192177388958,3.43225601359303e-09,2.6401969335331e-07,11.6488572644243,TRUE
"Tcn2",-2.02579846587475,8.27827028787043,-14.5564667259009,3.32970018043475e-09,2.62254946057831e-07,11.6363667174943,TRUE
"Clec4d",-1.83997550758192,11.0683092410054,-14.5953013860847,3.22627883028449e-09,2.58727387694289e-07,11.6137895370994,TRUE
"Tgm2",-1.63257030385219,11.5064419771514,-14.5512911235506,3.34375056223734e-09,2.62254946057831e-07,11.5674006352618,TRUE
"Ets2",-1.79645253099282,10.9307475704283,-14.5356678450152,3.38655183287793e-09,2.63033152068189e-07,11.5664610515984,TRUE
"Jaml",-3.58067658612944,5.33974698526951,-14.4620044480111,3.59645370370333e-09,2.71474003179038e-07,11.5613913155622,TRUE
"S100a6",-1.92239984707305,8.29120559238396,-14.4618084414869,3.59703054212225e-09,2.71474003179038e-07,11.5569144061913,TRUE
"Rsad2",-2.20473962687001,7.27122166330227,-14.4057442730978,3.76618291497194e-09,2.78976512220144e-07,11.534073649898,TRUE
"Ell2",-1.80667456428221,9.19989477755854,-14.4373417456811,3.66982248245042e-09,2.7437925102433e-07,11.5176506666627,TRUE
"Atp11a",-1.88365056542241,7.8675216966565,-14.3544109784551,3.92858058906147e-09,2.8833619002286e-07,11.4747229020845,TRUE
"Agap2",-2.47375105372321,6.89384280782833,-14.2627021495406,4.23776480084450e-09,3.02697485774607e-07,11.4281095582712,TRUE
"Ncf2",-2.09247953228251,9.74449894166004,-14.3386533663506,3.97992999269361e-09,2.89449454014081e-07,11.4234781595559,TRUE
"Pxk",-2.10772233218068,7.12112651476646,-14.2259971069996,4.36875805625293e-09,3.06579512719504e-07,11.3869288268923,TRUE
"H2-Q10",-2.02755463003566,7.50489033823434,-14.2330912088893,4.34310500453394e-09,3.06579512719504e-07,11.3811005399601,TRUE
"Lsp1",-1.81993457435742,9.31432462436632,-14.2706805944292,4.20985399843526e-09,3.02697485774607e-07,11.3740460388504,TRUE
"Sfxn5",-2.42172705758039,6.08193867190776,-14.1690905760768,4.58053272781236e-09,3.15898808814646e-07,11.3691988603503,TRUE
"Arg2",-2.09501455486496,7.75845308157944,-14.1794303597245,4.54124763031347e-09,3.15898808814646e-07,11.3292252507967,TRUE
"Qsox1",-2.20163485252645,6.56626575502979,-14.1268350326078,4.74491956354718e-09,3.21358633475141e-07,11.320795081164,TRUE
"Tlr6",-2.07066399517073,7.44627600428302,-14.1538122880677,4.63925177824604e-09,3.17213796803148e-07,11.3156350342445,TRUE
"Trf",-2.19177941890337,7.96424141311655,-14.1179690613194,4.78020967294273e-09,3.21358633475141e-07,11.2723737021335,TRUE
"Selplg",-1.98078175676726,8.25186381771863,-14.0916868124622,4.88649242712327e-09,3.25766161808218e-07,11.243725044554,TRUE
"Mpzl3",-2.78622910768559,5.24354048624936,-14.0238779001001,5.17262064229152e-09,3.38056875911662e-07,11.2352155682904,TRUE
"Rdh11",-2.37415847228526,6.28039092182006,-13.9863622355931,5.33862178698306e-09,3.41671794366916e-07,11.2110321921545,TRUE
"Zswim4",-1.78544831294773,9.14831196936976,-14.0730680648904,4.96332138351581e-09,3.28153479901872e-07,11.2079046984633,TRUE
"Rhov",-3.30983939124652,6.4019730767214,-13.9588329886742,5.46407584324851e-09,3.46925450364985e-07,11.1932092538734,TRUE
"Oasl2",-2.09011513166002,8.48938900710293,-14.0103873984935,5.23166590437156e-09,3.38056875911662e-07,11.1690358240466,TRUE
"Cd300lf",-1.59615708301234,11.1687205111545,-14.008523288607,5.23988157663076e-09,3.38056875911662e-07,11.1092215838216,TRUE
"Mgst1",-2.70903068461706,5.21487099142502,-13.8610439642958,5.93598811502532e-09,3.68123293955059e-07,11.1017358570922,TRUE
"Cyth1",-2.41414092225765,9.50086319813267,-13.9468803844077,5.51952906325289e-09,3.47686870126166e-07,11.0920548929036,TRUE
"Trib1",-1.64544749523021,10.1817597903312,-13.9095171936812,5.69681089756969e-09,3.56050681098106e-07,11.0438622029005,TRUE
"Vps37b",-2.52644356048181,7.84984621099329,-13.8432633495672,6.02640952639573e-09,3.70855970855122e-07,11.0389212441986,TRUE
"Flot1",-1.951492068354,6.87781818268579,-13.7438709370349,6.55991498512607e-09,3.89680997061885e-07,10.9799417599918,TRUE
"Wbp1l",-2.45860873037119,8.04678061175824,-13.779841944926,6.3611916041482e-09,3.85541818607252e-07,10.9781622966867,TRUE
"R3hdm4",-2.01055065602542,6.62664196621147,-13.7268578417507,6.6562205736592e-09,3.91542386685835e-07,10.9743735348062,TRUE
"Tnfrsf1a",-1.76562887275334,8.82754786289524,-13.7797962307934,6.36144000701965e-09,3.85541818607252e-07,10.9593588681254,TRUE
"Man1b1",-1.88135289733731,8.27010942741136,-13.7410344420181,6.57586682541931e-09,3.89680997061885e-07,10.9382378267861,TRUE
"Ankrd33b",-1.84689290622922,9.51426842443365,-13.7618632363083,6.45969415892988e-09,3.88553032116083e-07,10.9281707329986,TRUE
"G0s2",-2.43507945467596,8.15344617403149,-13.7055075514078,6.77923393993832e-09,3.92999068981931e-07,10.9103858855764,TRUE
"Pde4b",-1.85464141707259,9.31155095419695,-13.7115317768177,6.74427867148248e-09,3.92999068981931e-07,10.8882054026313,TRUE
"Il15",-3.61705716739642,5.1570419078764,-13.6471919286171,7.12785665371951e-09,4.10236354170907e-07,10.8834837822884,TRUE
"Rnf144a",-2.81798946103211,5.52434477141117,-13.565315781443,7.65024340955485e-09,4.37156766260277e-07,10.8633372270879,TRUE
"Rtp4",-2.88560889043914,5.85834603963569,-13.5256288487823,7.91813552978181e-09,4.45714067124861e-07,10.829191334166,TRUE
"ENSMUSG00000102196",-2.60676130382515,5.48181653217363,-13.5056482403034,8.05680887559917e-09,4.45714067124861e-07,10.8126600243997,TRUE
"Cdc27",-1.99998095324709,7.15863683537688,-13.547978683493,7.76605290134149e-09,4.4062711496973e-07,10.7982708344069,TRUE
"F5",-2.10567223299001,7.94561682488981,-13.5159238134012,7.98516908505636e-09,4.45714067124861e-07,10.7461175188573,TRUE
"Braf",-1.715085722306,9.0179273339187,-13.4832299660492,8.21551530356001e-09,4.50165222112878e-07,10.6908907977726,TRUE
"Slc7a11",-1.51148781312162,11.6416428477479,-13.5025467585398,8.0785674666381e-09,4.45714067124861e-07,10.648285114043,TRUE
"Chd7",-1.79384020676192,9.69128505700553,-13.4167618897845,8.70614401014702e-09,4.70602378926866e-07,10.6154882052192,TRUE
"Emilin2",-1.59001936543593,10.4022927798574,-13.4285801662031,8.61665625939926e-09,4.68933673980912e-07,10.6104123728755,TRUE
"Ppp1r3b",-2.07447941936376,8.19442276839042,-13.3320421683385,9.37764430534259e-09,4.96828837369144e-07,10.5750005468311,TRUE
"H2-D1",-1.55251292689056,10.416696034052,-13.3784351230245,9.00329403321771e-09,4.83398337353971e-07,10.5645429635574,TRUE
"Notch2",-1.7024834147529,10.0600202980259,-13.3524291765677,9.21111822964784e-09,4.91259638914552e-07,10.5488283097614,TRUE
"Chp1",-1.75042026115476,8.36166862133545,-13.3045261355372,9.60755273816887e-09,5.0566067042994e-07,10.5455925028864,TRUE
"Hexb",2.90859529636905,6.26592661889619,13.1732178762084,1.07913195848645e-08,5.49876157190547e-07,10.5204584938395,TRUE
"A530064D06Rik",-3.35681206445263,8.33589731108884,-13.2348168401496,1.02175653463438e-08,5.23977710068914e-07,10.4876991795281,TRUE
"Fosl2",-1.96953255619414,10.4481785740059,-13.2875766304234,9.75218341670272e-09,5.09918087147855e-07,10.4809940478863,TRUE
"Plaur",-1.88019099456483,10.8794824748812,-13.2765115578652,9.84786351825311e-09,5.11577325623538e-07,10.4608624358183,TRUE
"Tbc1d8",-2.54057932028745,5.60188799689821,-13.0984968858171,1.15341828441783e-08,5.66094863517951e-07,10.4565339537731,TRUE
"Antxr2",-1.57929733721913,10.2793872691863,-13.2429251129188,1.01445183410682e-08,5.2358804340997e-07,10.4437820945335,TRUE
"Rnf11",-1.93176361672839,7.73965990237934,-13.1630209755324,1.0889592780522e-08,5.51371786355543e-07,10.4319622760937,TRUE
"Gpat3",-2.03135763677738,6.98002042818465,-13.1297438845614,1.12170516873684e-08,5.57369027943772e-07,10.4294342104065,TRUE
"Ifitm6",-3.04953733865043,4.85985938883912,-13.0854407439606,1.16695343202098e-08,5.692455765956e-07,10.4062579470312,TRUE
"Klf3",-1.66812584539542,8.73974406771811,-13.1470159477276,1.10457869977119e-08,5.5405203906306e-07,10.3918552388775,TRUE
"Mctp2",-2.2664417180483,5.59148641171601,-13.0251090934864,1.23175384429586e-08,5.97213985113146e-07,10.3895848034528,TRUE
"Hcls1",-1.68579731126153,8.73102318448755,-13.143437181738,1.10810407812612e-08,5.5405203906306e-07,10.3888452398508,TRUE
"Svil",-1.78443304348952,7.89297727418933,-13.1035935436416,1.14818051064489e-08,5.66094863517951e-07,10.3733046728645,TRUE
"Def6",-2.11103858133527,6.34053041825231,-12.9731363998108,1.29068037469197e-08,6.1097295843407e-07,10.313615355921,TRUE
"Bcl9l",-2.73388665292277,5.330946097737,-12.9296005485847,1.34237429286661e-08,6.20401995289902e-07,10.307498424594,TRUE
"Trio",2.42042746717678,6.29113082350448,12.9383460563989,1.33181411025746e-08,6.19448423375565e-07,10.3028046571418,TRUE
"Aqp9",-2.14148228836959,5.91039372862133,-12.9238440468927,1.34937433975554e-08,6.20401995289902e-07,10.2865245887667,TRUE
"Homer1",-1.82186197913763,7.85905174947053,-13.0029411355983,1.25652640922987e-08,6.04726382639073e-07,10.2813072294744,TRUE
"Dennd3",-1.97370580259686,6.40916518409602,-12.9409685691174,1.32866485666224e-08,6.19448423375565e-07,10.2795505410085,TRUE
"Havcr2",1.80306737830685,7.70687891882298,12.9890670400256,1.27230266231924e-08,6.05858410628211e-07,10.278015899182,TRUE
"Msl2",-1.71511284729074,8.47772298709329,-12.9977836347702,1.26236632375907e-08,6.04726382639073e-07,10.2608723512183,TRUE
"Rap1gap2",-2.04978165801125,5.98969805588167,-12.8586112660906,1.4314982918535e-08,6.39775772895418e-07,10.2225027844221,TRUE
"Rhog",-1.62621175754367,9.09990926872712,-12.9393652596358,1.3305892445925e-08,6.19448423375565e-07,10.1900086236543,TRUE
"Atp11b",-1.92113082815055,8.08657524260629,-12.9019276810474,1.37638629068611e-08,6.25630132130049e-07,10.1817857804721,TRUE
"Asprv1",-1.77552531426124,8.35383031170102,-12.9076655051215,1.36925872151601e-08,6.25630132130049e-07,10.1802554619598,TRUE
"Slc22a15",-1.77624812291978,7.15745394466725,-12.8685363008956,1.41866438860595e-08,6.3760197240717e-07,10.1792644131096,TRUE
"Tes",-1.8831093233424,8.81307459975114,-12.845113076269,1.44915317635737e-08,6.44068078381053e-07,10.1098913395122,TRUE
"Sorl1",-1.7329792945685,10.5111310349177,-12.8691237591278,1.41790864129874e-08,6.3760197240717e-07,10.090549821498,TRUE
"Unc45a",-1.85142595736984,6.87876574150166,-12.7516602742454,1.57799063325345e-08,6.8983197082118e-07,10.0821947770727,TRUE
"Slfn1",-1.85448490129301,7.91287134988021,-12.7594826138497,1.56674818813812e-08,6.88680522258514e-07,10.0524601062534,TRUE
"Dgat1",-2.40946771130326,9.85339756496632,-12.7951999754877,1.51649684261195e-08,6.70274847563292e-07,10.0370531848278,TRUE
"Ppt1",-1.68784826288163,7.65069953435765,-12.7262302762245,1.61514215817468e-08,7.02235720945515e-07,10.0280654224752,TRUE
"Irf7",-2.14195373347224,6.68240328710128,-12.6652262083426,1.70815162619377e-08,7.19221737344746e-07,10.0138258610981,TRUE
"ENSMUSG00000009551",-2.5694318320735,5.47957517700804,-12.5945887498071,1.8230933387935e-08,7.47935728735797e-07,10.0029307761095,TRUE
"Ifitm2",-1.82844969677622,7.2422163605754,-12.6592313162605,1.71759750518883e-08,7.19412567618356e-07,9.97984740950153,TRUE
"Marchf7",-1.69560426245977,9.06197703239402,-12.7095185910435,1.64006784672661e-08,7.09218528314208e-07,9.97451570221852,TRUE
"Snx20",-1.73169438636627,8.54943216841691,-12.6830930611671,1.68032915687347e-08,7.15033683775945e-07,9.96333622703601,TRUE
"Ctdsp1",-1.71999389350206,7.49876597364977,-12.6427317693676,1.74388605936533e-08,7.2661919140222e-07,9.95390242090442,TRUE
"Ccl6",-1.74646153550323,9.78954658316121,-12.7006308995491,1.65349202201454e-08,7.11179364307327e-07,9.94791326083685,TRUE
"Trpv2",-1.61575633605335,8.28090874106167,-12.6357775323833,1.7550953727526e-08,7.27373885327144e-07,9.92532248295069,TRUE
"Bcl2l11",-1.54189148367198,9.57285939675839,-12.6709564941547,1.69917482773235e-08,7.19221737344746e-07,9.92461401182733,TRUE
"Syk",-1.45008215778813,10.8610750913956,-12.6914103037279,1.66754388144879e-08,7.13387756769534e-07,9.91312347651523,TRUE
"Oas2",-1.96840669190967,7.28435986571441,-12.5825783753327,1.84345004176449e-08,7.52428588475303e-07,9.90650769540865,TRUE
"Nup98",-1.75274166395018,9.12348821186544,-12.6303598058547,1.76388167191832e-08,7.27373885327144e-07,9.89761390952004,TRUE
"Tbc1d2b",-1.72123746326693,7.11842534623645,-12.4663456618416,2.0535643215313e-08,8.25553496092984e-07,9.80026709095769,TRUE
"Nherf1",-1.69087482295681,7.68690417022996,-12.4817779065782,2.02424366514457e-08,8.17876228341239e-07,9.79414182836954,TRUE
"Nfe2",-2.0302658028174,6.38852721232623,-12.4161498952784,2.1521325957914e-08,8.52329740907486e-07,9.78973279394622,TRUE
"Btg1",-1.55536883909466,11.4738195516426,-12.5625291791604,1.87797800898978e-08,7.62630663549151e-07,9.77342472894196,TRUE
"Card6",-2.16236686544899,5.76456101235383,-12.3337895960219,2.32504060850816e-08,9.02928391653653e-07,9.74414687889659,TRUE
"Fam114a1",-2.46184453875341,5.04109506677179,-12.2950388852422,2.41150410390821e-08,9.23063771830895e-07,9.72853752128168,TRUE
"Pfkfb3",-1.56914367317066,8.57632497826335,-12.4308487804803,2.12275289540192e-08,8.4910115816077e-07,9.72008326389834,TRUE
"9830107B12Rik",-4.39316581850892,5.66476545914799,-12.2883363320242,2.42680655274896e-08,9.24497734380557e-07,9.7181279856782,TRUE
"Marcks",-1.69722021198106,8.54684242525941,-12.4202150587297,2.14396382175116e-08,8.52329740907486e-07,9.7110279994552,TRUE
"Trim12c",-1.95075071679341,6.05106813244533,-12.3173865282656,2.36122695051013e-08,9.12551478458022e-07,9.71078711435403,TRUE
